Feature,Importance
churn_probability,0.49029292404578484
total_ic_mou_8,0.06519129465780012
arpu_8,0.05299029343476404
total_og_mou_8,0.04892292685573908
max_rech_amt_8,0.024190384114906836
loc_ic_mou_8,0.015554323594678092
total_ic_mou_7,0.014091863870925592
loc_ic_t2m_mou_8,0.012495360424827899
loc_ic_t2t_mou_8,0.012000033616996647
last_day_rch_amt_8,0.010988447984167527
std_og_mou_8,0.009513276707043487
loc_og_mou_8,0.009310525152352813
total_rech_amt_8,0.00928948160312548
roam_og_mou_8,0.008889523976051033
total_og_mou_7,0.008848084534613639
loc_og_t2t_mou_8,0.008105526756093046
onnet_mou_8,0.007759278431997483
loc_og_t2m_mou_8,0.007658136370508928
loc_ic_t2f_mou_8,0.00760369755984709
roam_ic_mou_8,0.0075274125705947215
offnet_mou_8,0.005928156231441706
total_rech_num_8,0.005844654120378424
arpu_7,0.005650572541210792
std_ic_mou_8,0.0045942303023610645
std_ic_t2m_mou_8,0.0037927981681272027
std_og_t2m_mou_8,0.003637009832511217
aon,0.003453137061643901
vol_2g_mb_8,0.0033990173077162807
id,0.00293001651388499
loc_ic_mou_7,0.0029236287507955383
offnet_mou_6,0.002874031507855188
arpu_6,0.0028087406984182474
max_rech_amt_7,0.0027621167544571446
std_og_t2t_mou_8,0.002748040741402358
total_rech_amt_7,0.0027311770673857784
loc_ic_t2t_mou_7,0.002727869968630997
total_rech_num_7,0.0026889327402950867
offnet_mou_7,0.0026055338884469386
loc_ic_t2m_mou_7,0.0025894413708634685
total_rech_amt_6,0.0024326078351488627
total_rech_num_6,0.0024221993682406514
vol_3g_mb_8,0.002420756176470198
std_og_mou_7,0.0023948472221557316
total_ic_mou_6,0.0023683416519988754
loc_ic_t2m_mou_6,0.0023104376242438053
onnet_mou_7,0.002246384928527975
onnet_mou_6,0.0022344689247114024
std_ic_t2t_mou_8,0.0022316357220659045
loc_og_t2m_mou_7,0.0021361612536317915
total_og_mou_6,0.002100408100160161
roam_og_mou_7,0.0020882265719876546
roam_ic_mou_7,0.002066723655689941
loc_ic_mou_6,0.002062314225996977
loc_og_mou_7,0.0020227800744288538
spl_og_mou_8,0.002005586305272411
loc_og_t2m_mou_6,0.002002799453282637
std_og_t2m_mou_7,0.001993773784531029
std_og_mou_6,0.0019653602606642933
loc_og_mou_6,0.0018840632817631537
loc_og_t2f_mou_8,0.0018519093072536929
loc_ic_t2f_mou_7,0.0018307885424057127
max_rech_amt_6,0.001827464231649417
std_og_t2m_mou_6,0.0018218930019002469
loc_ic_t2t_mou_6,0.0018110015569912789
std_og_t2t_mou_7,0.0017087346484001443
std_ic_mou_6,0.0016222671868528708
spl_og_mou_7,0.0015873694861884776
std_ic_mou_7,0.0015711704794239764
roam_og_mou_6,0.0015620242019760541
loc_og_t2t_mou_7,0.001552385684983105
std_ic_t2m_mou_6,0.001552371871283459
loc_og_t2t_mou_6,0.0015122766182352496
std_og_t2t_mou_6,0.0014972349132071161
last_day_rch_amt_7,0.001420970826763913
last_day_rch_amt_6,0.0014187473990068128
std_ic_t2m_mou_7,0.001401114715321615
loc_og_t2f_mou_7,0.0013914823249719654
std_ic_t2t_mou_6,0.001371538897681103
aug_vbc_3g,0.0013669985250545716
vol_2g_mb_7,0.0013251866126748227
roam_ic_mou_6,0.0012292630593100133
std_ic_t2t_mou_7,0.0011246747233342005
vol_3g_mb_7,0.0011089230080881876
loc_ic_t2f_mou_6,0.0010927372281465835
spl_og_mou_6,0.0010557753379682492
loc_og_t2c_mou_7,0.001018762993461414
vol_2g_mb_6,0.0009202147866852374
loc_og_t2f_mou_6,0.0008551231805971804
vol_3g_mb_6,0.0008517542534895248
spl_ic_mou_8,0.0008280421705757625
og_others_6,0.0007627301989906639
loc_og_t2c_mou_6,0.0007285807168541628
ic_others_8,0.0006888580294026262
ic_others_6,0.000677768860791181
loc_og_t2c_mou_8,0.0006763936091005961
ic_others_7,0.0006632089934043804
spl_ic_mou_6,0.0006573990359674349
isd_ic_mou_7,0.0006025398947658725
isd_ic_mou_6,0.0005997336101629654
jun_vbc_3g,0.000575295795898215
isd_ic_mou_8,0.0005699078545736624
sachet_2g_8,0.0005612964102454375
monthly_3g_8,0.000514041432113642
isd_og_mou_7,0.000496999033614488
jul_vbc_3g,0.000491624093825799
sachet_2g_6,0.0004862507611207872
std_ic_t2f_mou_6,0.0004775537812888755
isd_og_mou_8,0.00046353388015410316
isd_og_mou_6,0.00045900915635810726
sachet_2g_7,0.00045655092087682316
std_ic_t2f_mou_7,0.0004303225745089021
spl_ic_mou_7,0.00036999105375093384
std_og_t2f_mou_6,0.0003527481529008124
std_og_t2f_mou_7,0.0003264991542302321
monthly_3g_7,0.0003222665630121552
std_ic_t2f_mou_8,0.00030845517716248327
monthly_3g_6,0.0003004718805061228
sachet_3g_7,0.0002927928023291325
monthly_2g_8,0.00025076589289804935
monthly_2g_7,0.00024476376819449906
sachet_3g_6,0.00021913059864995317
sachet_3g_8,0.00018765955246419544
monthly_2g_6,0.00017161465096867222
std_og_t2f_mou_8,0.00016299748646907125
og_others_8,3.0739952759393324e-05
og_others_7,2.752464418674212e-05
